030817_mouseTest1
START time
19:29
treadmill_hiddenRewMult_030817a
numRew=4
rewWidth=300
rewZoneOptTime=3000
interLickInt=1000
rewTimeout=500
rewPos={0, 800, 1600, 2400, }
rewDur=500
isButtonStart=0
isOperant=1
isVelRew=0
velThresh=400.00
END HEADER
read tag, millis=2157
starting track calibration
read tag, millis=11628
calibration complete
track length=4655
START SESSION, millis=11633
vel=-0.22, currPos=-1, millis=14753
vel=-1.49, currPos=-2, millis=15424
vel=-20.00, currPos=-3, millis=15475
vel=19.23, currPos=-2, millis=15526
vel=100.00, currPos=3, millis=15578
vel=392.16, currPos=23, millis=15629
vel=1860.00, currPos=116, millis=15679
vel=1333.33, currPos=184, millis=15730
vel=588.24, currPos=214, millis=15781
vel=529.41, currPos=241, millis=15832
vel=764.71, currPos=280, millis=15883
vel=800.00, currPos=320, millis=15934
vel=235.29, currPos=332, millis=15984
vel=700.00, currPos=367, millis=16035
vel=653.85, currPos=401, millis=16086
rewZone=1, millis=16087
vel=294.12, currPos=416, millis=16137
vel=40.00, currPos=418, millis=16187
vel=2.37, currPos=419, millis=16610
vel=549.02, currPos=447, millis=16661
vel=460.00, currPos=470, millis=16712
vel=392.16, currPos=490, millis=16762
vel=653.85, currPos=524, millis=16814
vel=1060.00, currPos=577, millis=16865
vel=607.84, currPos=608, millis=16915
vel=840.00, currPos=650, millis=16966
vel=784.31, currPos=690, millis=17016
vel=490.20, currPos=715, millis=17068
vel=607.84, currPos=746, millis=17119
vel=431.37, currPos=768, millis=17169
vel=20.00, currPos=769, millis=17219
vel=2.68, currPos=770, millis=17593
vel=490.20, currPos=795, millis=17644
vel=60.00, currPos=798, millis=17694
vel=254.90, currPos=811, millis=17745
rewZone=2, millis=17746
vel=705.88, currPos=847, millis=17797
vel=1980.39, currPos=948, millis=17848
vel=1380.00, currPos=1017, millis=17898
vel=-19.61, currPos=1016, millis=17948
vel=705.88, currPos=1052, millis=17999
vel=1196.08, currPos=1113, millis=18051
vel=431.37, currPos=1135, millis=18102
vel=40.00, currPos=1137, millis=18152
