030817_mouseTest2
START time
20:16
treadmill_hiddenRewMult_030817a
numRew=10
rewWidth=300
rewZoneOptTime=3000
interLickInt=1000
rewTimeout=500
rewPos={0, 400, 800, 1200, 1600, 2000, 2400, 2800, 3200, 3600, }
rewDur=500
isButtonStart=0
isOperant=1
isVelRew=0
velThresh=400.00
END HEADER
read tag, millis=1446
starting track calibration
read tag, millis=8476
calibration complete
track length=4793
START SESSION, millis=8481
vel=-0.24, currPos=-1, millis=11326
vel=-40.00, currPos=-3, millis=11377
vel=-0.78, currPos=-4, millis=12667
vel=-18.52, currPos=-5, millis=12722
vel=-529.41, currPos=-32, millis=12773
vel=-600.00, currPos=-62, millis=12824
vel=-647.06, currPos=-95, millis=12874
vel=-156.86, currPos=-103, millis=12925
vel=98.04, currPos=-98, millis=12977
vel=-40.00, currPos=-100, millis=13027
vel=333.33, currPos=-83, millis=13078
vel=980.00, currPos=-34, millis=13129
vel=634.62, currPos=-1, millis=13180
vel=843.14, currPos=42, millis=13231
vel=580.00, currPos=71, millis=13282
vel=509.80, currPos=97, millis=13333
vel=900.00, currPos=142, millis=13383
vel=627.45, currPos=174, millis=13434
vel=627.45, currPos=206, millis=13485
vel=-19.61, currPos=205, millis=13535
vel=120.00, currPos=211, millis=13586
vel=352.94, currPos=229, millis=13637
vel=333.33, currPos=246, millis=13688
vel=1.81, currPos=247, millis=14239
vel=254.90, currPos=260, millis=14291
vel=627.45, currPos=292, millis=14342
vel=745.10, currPos=330, millis=14393
vel=700.00, currPos=365, millis=14443
vel=411.76, currPos=386, millis=14494
vel=480.00, currPos=410, millis=14545
rewZone=1, millis=14545
vel=826.92, currPos=453, millis=14596
vel=549.02, currPos=481, millis=14647
vel=18.18, currPos=482, millis=14702
vel=180.00, currPos=491, millis=14752
vel=750.00, currPos=530, millis=14803
vel=380.00, currPos=549, millis=14855
vel=19.61, currPos=550, millis=14905
vel=-120.00, currPos=544, millis=14955
vel=19.61, currPos=545, millis=15006
vel=0.43, currPos=546, millis=17352
vel=274.51, currPos=560, millis=17403
vel=254.90, currPos=573, millis=17454
vel=352.94, currPos=591, millis=17505
vel=940.00, currPos=638, millis=17556
vel=901.96, currPos=684, millis=17606
vel=862.75, currPos=728, millis=17657
vel=764.71, currPos=767, millis=17709
vel=647.06, currPos=800, millis=17759
rewZone=2, millis=17760
vel=660.00, currPos=833, millis=17810
vel=803.92, currPos=874, millis=17860
vel=460.00, currPos=897, millis=17911
vel=117.65, currPos=903, millis=17961
vel=-1.04, currPos=902, millis=18922
vel=0.80, currPos=903, millis=20177
vel=58.82, currPos=906, millis=20228
vel=196.08, currPos=916, millis=20279
vel=560.00, currPos=944, millis=20330
vel=686.27, currPos=979, millis=20381
vel=941.18, currPos=1027, millis=20431
vel=520.00, currPos=1053, millis=20483
vel=750.00, currPos=1092, millis=20534
vel=380.00, currPos=1111, millis=20584
vel=745.10, currPos=1149, millis=20635
vel=686.27, currPos=1184, millis=20686
vel=440.00, currPos=1206, millis=20737
rewZone=3, millis=20738
vel=346.15, currPos=1224, millis=20788
vel=420.00, currPos=1245, millis=20838
vel=78.43, currPos=1249, millis=20889
vel=0.55, currPos=1250, millis=22724
vel=117.65, currPos=1256, millis=22775
vel=440.00, currPos=1278, millis=22827
vel=365.38, currPos=1297, millis=22877
vel=520.00, currPos=1323, millis=22928
vel=686.27, currPos=1358, millis=22979
vel=1080.00, currPos=1412, millis=23029
vel=1156.86, currPos=1471, millis=23080
vel=686.27, currPos=1506, millis=23132
vel=823.53, currPos=1548, millis=23182
vel=803.92, currPos=1589, millis=23233
vel=920.00, currPos=1635, millis=23284
rewZone=4, millis=23284
vel=803.92, currPos=1676, millis=23334
vel=340.00, currPos=1693, millis=23386
vel=442.31, currPos=1716, millis=23436
vel=-19.61, currPos=1715, millis=23486
vel=1.57, currPos=1716, millis=24122
vel=40.00, currPos=1718, millis=24173
vel=352.94, currPos=1736, millis=24224
vel=1360.00, currPos=1804, millis=24275
vel=1509.80, currPos=1881, millis=24326
