122816_mouseTest1
START time
16:23
treadmill_hiddenRewardRFIDhardSer_121616a
rewBegPos=1000
rewEndPos=2000
rewDur=500
isButtonStart=1
isOperant=1
isVelRew=0
velThresh=400.00
END HEADER
read tag, millis=4937
starting track calibration
read tag, millis=12262
calibration complete
track length = 4064
START SESSION button, millis = 14416
vel=1.32, currPos=415, millis=14882
vel=-1.44, currPos=414, millis=15575
vel=19.61, currPos=415, millis=15626
vel=9.71, currPos=416, millis=15729
vel=39.22, currPos=418, millis=15780
vel=120.00, currPos=424, millis=15831
vel=137.25, currPos=431, millis=15882
vel=176.47, currPos=440, millis=15933
vel=176.47, currPos=449, millis=15984
vel=176.47, currPos=458, millis=16035
vel=196.08, currPos=468, millis=16086
vel=200.00, currPos=478, millis=16137
vel=176.47, currPos=487, millis=16187
vel=153.85, currPos=495, millis=16238
vel=137.25, currPos=502, millis=16289
vel=100.00, currPos=507, millis=16340
vel=78.43, currPos=511, millis=16391
vel=78.43, currPos=515, millis=16442
vel=39.22, currPos=517, millis=16493
vel=137.25, currPos=524, millis=16544
vel=254.90, currPos=537, millis=16595
vel=280.00, currPos=551, millis=16646
vel=392.16, currPos=571, millis=16697
vel=423.08, currPos=593, millis=16748
vel=431.37, currPos=615, millis=16799
vel=400.00, currPos=635, millis=16850
vel=392.16, currPos=655, millis=16901
vel=352.94, currPos=673, millis=16952
vel=346.15, currPos=691, millis=17003
vel=340.00, currPos=708, millis=17054
vel=313.73, currPos=724, millis=17105
vel=294.12, currPos=739, millis=17156
vel=254.90, currPos=752, millis=17207
vel=280.00, currPos=766, millis=17258
vel=326.92, currPos=783, millis=17309
vel=392.16, currPos=803, millis=17360
vel=411.76, currPos=824, millis=17410
vel=400.00, currPos=844, millis=17461
vel=372.55, currPos=863, millis=17512
vel=365.38, currPos=882, millis=17563
vel=360.00, currPos=900, millis=17614
vel=352.94, currPos=918, millis=17665
vel=352.94, currPos=936, millis=17716
vel=352.94, currPos=954, millis=17767
vel=333.33, currPos=971, millis=17818
vel=294.12, currPos=986, millis=17869
vel=294.12, currPos=1001, millis=17920
vel=431.37, currPos=1023, millis=17971
vel=480.00, currPos=1047, millis=18022
vel=519.23, currPos=1074, millis=18073
vel=529.41, currPos=1101, millis=18124
vel=509.80, currPos=1127, millis=18175
vel=500.00, currPos=1152, millis=18226
vel=490.20, currPos=1177, millis=18277
vel=480.77, currPos=1202, millis=18328
vel=490.20, currPos=1227, millis=18379
vel=480.00, currPos=1251, millis=18430
vel=470.59, currPos=1275, millis=18481
vel=411.76, currPos=1296, millis=18532
vel=352.94, currPos=1314, millis=18582
vel=431.37, currPos=1336, millis=18633
vel=529.41, currPos=1363, millis=18684
vel=490.20, currPos=1388, millis=18735
vel=460.00, currPos=1411, millis=18786
vel=431.37, currPos=1433, millis=18837
vel=423.08, currPos=1455, millis=18888
vel=392.16, currPos=1475, millis=18939
vel=380.00, currPos=1494, millis=18990
vel=352.94, currPos=1512, millis=19041
vel=352.94, currPos=1530, millis=19092
vel=288.46, currPos=1545, millis=19143
vel=300.00, currPos=1560, millis=19194
vel=254.90, currPos=1573, millis=19245
vel=274.51, currPos=1587, millis=19296
vel=240.00, currPos=1599, millis=19347
vel=230.77, currPos=1611, millis=19398
vel=196.08, currPos=1621, millis=19449
vel=196.08, currPos=1631, millis=19500
vel=160.00, currPos=1639, millis=19550
vel=117.65, currPos=1645, millis=19601
vel=96.15, currPos=1650, millis=19652
vel=100.00, currPos=1655, millis=19703
vel=58.82, currPos=1658, millis=19754
vel=39.22, currPos=1660, millis=19805
vel=39.22, currPos=1662, millis=19856
vel=-7.04, currPos=1661, millis=19997
lick, millis=20033
vel=-20.00, currPos=1660, millis=20048
REWARD, millis=20048
vel=-19.61, currPos=1659, millis=20098
vel=-19.61, currPos=1658, millis=20149
vel=-40.00, currPos=1656, millis=20200
vel=-19.23, currPos=1655, millis=20251
vel=-16.13, currPos=1654, millis=20313
vel=-11.24, currPos=1653, millis=20403
vel=1.56, currPos=1654, millis=21045
vel=20.00, currPos=1655, millis=21096
vel=115.38, currPos=1661, millis=21147
vel=117.65, currPos=1667, millis=21198
vel=137.25, currPos=1674, millis=21249
vel=180.00, currPos=1683, millis=21300
vel=196.08, currPos=1693, millis=21351
vel=230.77, currPos=1705, millis=21402
vel=220.00, currPos=1716, millis=21453
vel=215.69, currPos=1727, millis=21504
vel=176.47, currPos=1736, millis=21555
vel=156.86, currPos=1744, millis=21606
vel=156.86, currPos=1752, millis=21656
vel=117.65, currPos=1758, millis=21707
vel=117.65, currPos=1764, millis=21758
vel=80.00, currPos=1768, millis=21809
vel=137.25, currPos=1775, millis=21860
vel=211.54, currPos=1786, millis=21912
vel=220.00, currPos=1797, millis=21962
vel=274.51, currPos=1811, millis=22013
vel=352.94, currPos=1829, millis=22064
vel=333.33, currPos=1846, millis=22115
vel=340.00, currPos=1863, millis=22166
vel=307.69, currPos=1879, millis=22217
vel=294.12, currPos=1894, millis=22268
vel=274.51, currPos=1908, millis=22319
vel=280.00, currPos=1922, millis=22370
vel=274.51, currPos=1936, millis=22421
vel=269.23, currPos=1950, millis=22472
vel=274.51, currPos=1964, millis=22523
vel=260.00, currPos=1977, millis=22574
vel=274.51, currPos=1991, millis=22625
vel=313.73, currPos=2007, millis=22676
vel=372.55, currPos=2026, millis=22727
vel=411.76, currPos=2047, millis=22778
vel=411.76, currPos=2068, millis=22829
vel=392.16, currPos=2088, millis=22880
vel=420.00, currPos=2109, millis=22931
vel=365.38, currPos=2128, millis=22982
vel=372.55, currPos=2147, millis=23033
vel=333.33, currPos=2164, millis=23084
vel=320.00, currPos=2180, millis=23134
vel=313.73, currPos=2196, millis=23185
vel=307.69, currPos=2212, millis=23236
vel=294.12, currPos=2227, millis=23287
vel=300.00, currPos=2242, millis=23338
vel=294.12, currPos=2257, millis=23389
vel=294.12, currPos=2272, millis=23440
vel=320.00, currPos=2288, millis=23491
vel=326.92, currPos=2305, millis=23542
vel=294.12, currPos=2320, millis=23593
vel=294.12, currPos=2335, millis=23644
vel=320.00, currPos=2351, millis=23695
vel=274.51, currPos=2365, millis=23746
vel=269.23, currPos=2379, millis=23797
vel=254.90, currPos=2392, millis=23848
vel=220.00, currPos=2403, millis=23899
vel=156.86, currPos=2411, millis=23949
vel=156.86, currPos=2419, millis=24000
vel=254.90, currPos=2432, millis=24052
vel=352.94, currPos=2450, millis=24103
vel=450.98, currPos=2473, millis=24154
vel=490.20, currPos=2498, millis=24204
vel=440.00, currPos=2520, millis=24255
vel=423.08, currPos=2542, millis=24306
vel=392.16, currPos=2562, millis=24357
vel=352.94, currPos=2580, millis=24408
vel=360.00, currPos=2598, millis=24459
vel=333.33, currPos=2615, millis=24510
vel=307.69, currPos=2631, millis=24561
vel=294.12, currPos=2646, millis=24612
vel=260.00, currPos=2659, millis=24663
vel=313.73, currPos=2675, millis=24714
vel=333.33, currPos=2692, millis=24765
vel=365.38, currPos=2711, millis=24816
vel=380.00, currPos=2730, millis=24867
vel=352.94, currPos=2748, millis=24918
vel=333.33, currPos=2765, millis=24969
vel=320.00, currPos=2781, millis=25020
vel=288.46, currPos=2796, millis=25071
vel=294.12, currPos=2811, millis=25122
vel=254.90, currPos=2824, millis=25173
vel=240.00, currPos=2836, millis=25224
vel=215.69, currPos=2847, millis=25275
vel=333.33, currPos=2864, millis=25326
vel=365.38, currPos=2883, millis=25376
vel=360.00, currPos=2901, millis=25427
vel=352.94, currPos=2919, millis=25478
vel=313.73, currPos=2935, millis=25529
vel=294.12, currPos=2950, millis=25580
vel=274.51, currPos=2964, millis=25631
vel=274.51, currPos=2978, millis=25682
vel=274.51, currPos=2992, millis=25733
vel=254.90, currPos=3005, millis=25784
vel=260.00, currPos=3018, millis=25835
vel=269.23, currPos=3032, millis=25886
vel=196.08, currPos=3042, millis=25937
vel=180.00, currPos=3051, millis=25987
vel=137.25, currPos=3058, millis=26038
vel=98.04, currPos=3063, millis=26089
vel=96.15, currPos=3068, millis=26140
vel=60.00, currPos=3071, millis=26191
vel=39.22, currPos=3073, millis=26242
vel=39.22, currPos=3075, millis=26293
vel=-8.20, currPos=3074, millis=26414
vel=-60.00, currPos=3071, millis=26465
vel=-78.43, currPos=3067, millis=26516
vel=15.38, currPos=3068, millis=26582
vel=58.82, currPos=3071, millis=26633
vel=117.65, currPos=3077, millis=26684
vel=115.38, currPos=3083, millis=26734
vel=100.00, currPos=3088, millis=26785
vel=117.65, currPos=3094, millis=26836
vel=78.43, currPos=3098, millis=26887
vel=180.00, currPos=3107, millis=26938
vel=274.51, currPos=3121, millis=26990
lick, millis=27039
vel=269.23, currPos=3135, millis=27040
vel=180.00, currPos=3144, millis=27091
vel=117.65, currPos=3150, millis=27142
vel=78.43, currPos=3154, millis=27193
vel=39.22, currPos=3156, millis=27244
vel=19.61, currPos=3157, millis=27295
