122816_mouseTest2
START time
21:15
treadmill_hiddenRewardRFIDhardSer_122916a
rewBegPos=1000
rewEndPos=2000
rewDur=500
isButtonStart=1
isOperant=1
isVelRew=0
velThresh=400.00
END HEADER
read tag, millis=3499
starting track calibration
read tag, millis=8220
calibration complete
track length=4017
START SESSION button, millis = 10506
vel=-58.82, currPos=325, millis=10525
vel=-58.82, currPos=322, millis=10576
vel=-38.46, currPos=320, millis=10627
vel=-60.00, currPos=317, millis=10678
vel=-39.22, currPos=315, millis=10728
vel=-39.22, currPos=313, millis=10779
vel=-19.61, currPos=312, millis=10830
vel=-19.61, currPos=311, millis=10881
vel=-19.61, currPos=310, millis=10932
vel=4.81, currPos=311, millis=11141
vel=0.79, currPos=312, millis=12401
vel=20.00, currPos=313, millis=12451
vel=19.61, currPos=314, millis=12502
vel=96.15, currPos=319, millis=12553
vel=160.00, currPos=327, millis=12604
vel=254.90, currPos=340, millis=12656
vel=333.33, currPos=357, millis=12707
vel=450.98, currPos=380, millis=12758
vel=596.15, currPos=411, millis=12809
vel=700.00, currPos=446, millis=12860
vel=686.27, currPos=481, millis=12911
vel=647.06, currPos=514, millis=12962
vel=647.06, currPos=547, millis=13013
vel=666.67, currPos=581, millis=13064
vel=627.45, currPos=613, millis=13115
vel=588.24, currPos=643, millis=13166
vel=588.24, currPos=673, millis=13217
vel=588.24, currPos=703, millis=13268
vel=549.02, currPos=731, millis=13319
vel=529.41, currPos=758, millis=13370
vel=529.41, currPos=785, millis=13421
vel=529.41, currPos=812, millis=13472
vel=549.02, currPos=840, millis=13523
vel=490.20, currPos=865, millis=13574
vel=529.41, currPos=892, millis=13625
vel=666.67, currPos=926, millis=13676
vel=843.14, currPos=969, millis=13727
vel=960.00, currPos=1017, millis=13778
vel=942.31, currPos=1066, millis=13829
vel=921.57, currPos=1113, millis=13880
vel=921.57, currPos=1160, millis=13931
vel=882.35, currPos=1205, millis=13982
vel=920.00, currPos=1251, millis=14033
vel=807.69, currPos=1293, millis=14084
vel=843.14, currPos=1336, millis=14135
vel=862.75, currPos=1380, millis=14186
vel=820.00, currPos=1421, millis=14237
vel=823.53, currPos=1463, millis=14288
vel=823.53, currPos=1505, millis=14339
vel=750.00, currPos=1544, millis=14390
vel=784.31, currPos=1584, millis=14441
vel=800.00, currPos=1624, millis=14492
vel=705.88, currPos=1660, millis=14543
vel=647.06, currPos=1693, millis=14594
vel=730.77, currPos=1731, millis=14645
vel=941.18, currPos=1779, millis=14696
vel=1040.00, currPos=1831, millis=14747
vel=1117.65, currPos=1888, millis=14798
vel=960.78, currPos=1937, millis=14849
vel=942.31, currPos=1986, millis=14900
vel=940.00, currPos=2033, millis=14951
vel=862.75, currPos=2077, millis=15002
vel=862.75, currPos=2121, millis=15053
vel=843.14, currPos=2164, millis=15104
vel=750.00, currPos=2203, millis=15155
vel=820.00, currPos=2244, millis=15206
vel=764.71, currPos=2283, millis=15257
vel=686.27, currPos=2318, millis=15308
vel=705.88, currPos=2354, millis=15359
vel=745.10, currPos=2392, millis=15410
vel=627.45, currPos=2424, millis=15461
vel=666.67, currPos=2458, millis=15512
vel=568.63, currPos=2487, millis=15563
vel=450.98, currPos=2510, millis=15614
vel=588.24, currPos=2540, millis=15665
vel=843.14, currPos=2583, millis=15716
vel=980.39, currPos=2633, millis=15767
vel=960.78, currPos=2682, millis=15818
vel=941.18, currPos=2730, millis=15869
vel=941.18, currPos=2778, millis=15920
vel=901.96, currPos=2824, millis=15971
vel=941.18, currPos=2872, millis=16022
vel=901.96, currPos=2918, millis=16073
vel=840.00, currPos=2960, millis=16124
vel=803.92, currPos=3001, millis=16175
vel=750.00, currPos=3040, millis=16226
vel=705.88, currPos=3076, millis=16277
vel=686.27, currPos=3111, millis=16328
vel=660.00, currPos=3144, millis=16379
vel=627.45, currPos=3176, millis=16430
vel=557.69, currPos=3205, millis=16481
vel=549.02, currPos=3233, millis=16532
vel=560.00, currPos=3261, millis=16583
vel=529.41, currPos=3288, millis=16634
vel=470.59, currPos=3312, millis=16685
vel=480.77, currPos=3337, millis=16736
vel=588.24, currPos=3367, millis=16787
vel=900.00, currPos=3412, millis=16838
vel=941.18, currPos=3460, millis=16889
vel=960.78, currPos=3509, millis=16940
vel=961.54, currPos=3559, millis=16991
vel=920.00, currPos=3605, millis=17042
vel=941.18, currPos=3653, millis=17093
vel=921.57, currPos=3700, millis=17144
vel=882.35, currPos=3745, millis=17195
vel=846.15, currPos=3789, millis=17246
vel=880.00, currPos=3833, millis=17297
vel=882.35, currPos=3878, millis=17348
vel=862.75, currPos=3922, millis=17399
vel=803.92, currPos=3963, millis=17450
vel=730.77, currPos=4001, millis=17501
vel=740.00, currPos=4038, millis=17552
vel=705.88, currPos=4074, millis=17603
read tag, millis=17632
vel=647.06, currPos=33, millis=17654
vel=647.06, currPos=66, millis=17705
vel=627.45, currPos=98, millis=17756
vel=588.24, currPos=128, millis=17807
vel=529.41, currPos=155, millis=17858
vel=490.20, currPos=180, millis=17909
vel=627.45, currPos=212, millis=17960
vel=823.53, currPos=254, millis=18011
vel=882.35, currPos=299, millis=18062
vel=941.18, currPos=347, millis=18113
vel=941.18, currPos=395, millis=18164
vel=900.00, currPos=440, millis=18215
vel=921.57, currPos=487, millis=18266
vel=865.38, currPos=532, millis=18317
vel=862.75, currPos=576, millis=18368
vel=901.96, currPos=622, millis=18419
vel=860.00, currPos=665, millis=18470
vel=823.53, currPos=707, millis=18521
vel=826.92, currPos=750, millis=18572
vel=803.92, currPos=791, millis=18623
vel=862.75, currPos=835, millis=18674
vel=820.00, currPos=876, millis=18725
vel=764.71, currPos=915, millis=18776
vel=692.31, currPos=951, millis=18827
vel=725.49, currPos=988, millis=18878
vel=680.00, currPos=1022, millis=18929
vel=549.02, currPos=1050, millis=18980
vel=450.98, currPos=1073, millis=19031
vel=576.92, currPos=1103, millis=19082
vel=803.92, currPos=1144, millis=19133
vel=900.00, currPos=1189, millis=19184
vel=921.57, currPos=1236, millis=19235
vel=901.96, currPos=1282, millis=19286
vel=807.69, currPos=1324, millis=19337
vel=840.00, currPos=1366, millis=19388
vel=882.35, currPos=1411, millis=19439
vel=803.92, currPos=1452, millis=19490
vel=843.14, currPos=1495, millis=19541
vel=788.46, currPos=1536, millis=19592
vel=780.00, currPos=1575, millis=19643
vel=803.92, currPos=1616, millis=19694
vel=764.71, currPos=1655, millis=19745
vel=725.49, currPos=1692, millis=19797
vel=711.54, currPos=1729, millis=19847
vel=740.00, currPos=1766, millis=19898
vel=666.67, currPos=1800, millis=19950
vel=686.27, currPos=1835, millis=20001
vel=725.49, currPos=1872, millis=20052
vel=640.00, currPos=1904, millis=20103
vel=519.23, currPos=1931, millis=20154
vel=647.06, currPos=1964, millis=20205
vel=843.14, currPos=2007, millis=20256
vel=960.78, currPos=2056, millis=20307
vel=940.00, currPos=2103, millis=20358
vel=884.62, currPos=2149, millis=20409
vel=882.35, currPos=2194, millis=20460
vel=823.53, currPos=2236, millis=20511
vel=860.00, currPos=2279, millis=20562
vel=823.53, currPos=2321, millis=20613
vel=692.31, currPos=2357, millis=20664
vel=803.92, currPos=2398, millis=20715
vel=764.71, currPos=2437, millis=20766
vel=720.00, currPos=2473, millis=20817
